run_date,company,unique_jobs_found_today,places_verified,places_reason,places_address,places_place_id,sample_1_title,sample_1_link,sample_2_title,sample_2_link,sample_3_title,sample_3_link,md_entity_search_link
2026-07-14,Applied ABC Maryland,1,0,,,,Behavior Technician - Montgomery County MD,"https://www.ziprecruiter.com/c/Applied-ABC-Maryland/Job/Behavior-Technician-Montgomery-County-MD/-in-Boyds,MD?jid=c6b9e8103166e8ad",,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-07-14,Brit-Am Soccer Academy Inc,1,0,,,,Brit-Am All Stars Academy Boys & Girls TEAMS Head Coach U7 - U15 (FALL 2026),https://www.indeed.com/viewjob?jk=74621f9d62568a24,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-07-14,Ethos Veterinary Health,1,0,,,,"Veterinary Assistant, Neurology",https://www.linkedin.com/jobs/view/veterinary-assistant-neurology-at-ethos-veterinary-health-4439499478,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-07-14,Federal Building Services,1,0,,,,"Janitorial Worker, Part-Time, Now Hiring in Gaithersburg, MD!!",https://www.indeed.com/viewjob?jk=51de806e67b3cf04,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-07-14,Flag Star Football,1,0,,,,Elite Youth Flag Football Coach,https://www.indeed.com/viewjob?jk=5f124990b33a44c2,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-07-14,HoneyBaked Ham Company LLC,1,0,,,,Year Round Associate,https://www.indeed.com/viewjob?jk=2185998ba8633b5b,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-07-14,Honu Services,1,0,,,,"SCA Supply Technician (Bethesda, MD) Jobs",https://www.clearancejobs.com/jobs/9028023/sca-supply-technician-bethesda-md,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-07-14,Maguire Building & Remodeling,1,0,,,,Carpenter/Carpenter helper,"https://www.ziprecruiter.com/c/Maguire-Building-&-Remodeling/Job/Carpenter-Carpenter-helper/-in-Silver-Spring,MD?jid=abca42c76649b618",,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-07-14,"McCormick & Company, Incorporated",1,0,,,,2nd-Shift Manufacturing Technician: Flavor & Blending,https://www.learn4good.com/jobs/gaithersburg/maryland/manufacturing/5284608957/e/,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-07-14,News Corp,1,0,,,,Intern,https://jobs.womenforhire.com/job/usa/silver-spring-md/intern-573066/,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-07-14,NTT DATA North America,1,0,,,,Project Manager / Delivery Lead,https://www.linkedin.com/jobs/view/project-manager-delivery-lead-at-ntt-data-north-america-4440811875,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-07-14,NyxGlobal Security Service,0,0,,,,,,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-07-14,QUEENJOJO TRANSPORTATION LLC,1,0,,,,Owner and operators,https://www.indeed.com/viewjob?jk=41667086449f4132,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-07-14,"SkyBound, Inc.",1,0,,,,Entry Level Assistant Manager,https://www.indeed.com/viewjob?jk=8f071a0a419324af,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-07-14,System Freight,1,0,,,,Local CDL-A Driver,https://www.adzuna.com/details/5800090813,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-07-14,Talera,1,0,,,,BCBA - In-Home Services Montgomery County [82885],https://www.linkedin.com/jobs/view/bcba-in-home-services-montgomery-county-82885-at-talera-4437692394,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-07-14,TekSky,1,0,,,,Associate Attorney,"https://www.ziprecruiter.com/c/TekSky/Job/Associate-Attorney/-in-Bethesda,MD?jid=94dab262311ee4fa",,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-07-14,The Junkluggers,1,0,,,,Field Operations Coordinator,https://www.linkedin.com/jobs/view/field-operations-coordinator-at-the-junkluggers-4439478673,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-07-14,TriSource Staffing Solutions,1,0,,,,Provider Data Specialist (Credentialing/Billing/Coding),"https://www.ziprecruiter.com/c/TriSource-Staffing-Solutions/Job/Provider-Data-Specialist-(Credentialing-Billing-Coding)/-in-Remote,US?jid=959aab78063f7ca4",,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-07-14,"Vin-Ter Language School, Inc.",1,0,,,,Korean Language Instructor (In-Person),https://www.indeed.com/viewjob?jk=8fec3a8b932727b0,,,,,https://egov.maryland.gov/businessexpress/entitysearch
2026-07-14,Wendy's - Colesville,1,0,,,,Restaurant Staff,https://www.seasoned.co/job/restaurant-staff-wendys-colesville-silver-spring-md_96e93fb9-01d4-4dde-8ae3-fef6fe6014e0_02519,,,,,https://egov.maryland.gov/businessexpress/entitysearch
